annual_output,mean_daily_loss,mean_idle,mean_shortage,utilization,max_daily_pens,loss_std,loss_p95,loss_cvar95,rental_day_ratio,planned_matings,executed_matings,execution_rate,scheme,N,R,h,seed,phase,q_max,B,engine_version,recomputed
1135.8,12.233424657534247,8.607123287671232,1.2087671232876713,93.39432485322897,124,6.317554260066729,24.0,26.403846153846153,0.2673972602739726,3794,3794,1.0,C,378,8,35,1008,screen,21.0,2.0,v2.2.1,True
1091.2,14.017534246575343,11.053698630136987,0.9879452054794521,91.01272015655579,122,7.079414766368093,25.0,26.78723404255319,0.26246575342465756,3549,3549,1.0,C,378,8,35,1008,screen,21.0,4.0,v2.2.1,True
1170.4,10.522739726027398,6.6876712328767125,1.2783561643835617,95.17025440313111,125,6.4353782613750905,23.59999999999991,28.369565217391305,0.2717808219178082,4599,4599,1.0,C,378,8,35,1008,screen,28.0,0.0,v2.2.1,True
1141.2,10.83945205479452,7.829589041095891,1.0032876712328767,93.90508806262231,123,5.810511093980947,22.0,24.8,0.24493150684931506,4578,4578,1.0,C,378,8,35,1008,screen,28.0,2.0,v2.2.1,True
1105.2,14.677808219178083,11.20109589041096,1.158904109589041,91.03375733855185,125,7.659651320481752,28.0,30.37864077669903,0.26465753424657534,4368,4368,1.0,C,378,8,35,1008,screen,28.0,4.0,v2.2.1,True
1144.0,12.578082191780823,7.789589041095891,1.596164383561644,94.47015655577299,125,7.192265707896063,27.0,30.16216216216216,0.29205479452054794,3773,3773,1.0,C,378,8,35,1009,screen,21.0,0.0,v2.2.1,True
1131.2,12.87945205479452,9.108493150684932,1.256986301369863,92.98972602739725,124,7.079880974414198,27.0,28.5,0.26794520547945205,3717,3717,1.0,C,378,8,35,1009,screen,21.0,2.0,v2.2.1,True
1120.2,14.46027397260274,10.465753424657533,1.3315068493150686,91.84442270058709,125,7.841192744281193,30.0,31.881720430107528,0.27013698630136984,3619,3619,1.0,C,378,8,35,1009,screen,21.0,4.0,v2.2.1,True
1139.2,11.555068493150685,7.202191780821918,1.450958904109589,94.86497064579257,126,6.7157478754459,24.0,29.092436974789916,0.28328767123287674,4543,4543,1.0,C,378,8,35,1009,screen,28.0,0.0,v2.2.1,True
1148.2,13.174246575342465,8.684931506849315,1.4964383561643835,93.58170254403132,125,6.840066333752341,26.0,29.03125,0.27287671232876715,4480,4480,1.0,C,378,8,35,1009,screen,28.0,2.0,v2.2.1,True
1120.2,14.46027397260274,10.465753424657533,1.3315068493150686,91.84442270058709,125,7.841192744281193,30.0,31.881720430107528,0.27013698630136984,4347,4347,1.0,C,378,8,35,1009,screen,28.0,4.0,v2.2.1,True
1214.6,7.811506849315069,4.911780821917808,0.9665753424657534,96.4774951076321,121,4.626579765533553,18.0,19.83870967741936,0.2630136986301369,3920,3920,1.0,C,378,8,40,1000,screen,21.0,0.0,v2.2,False
1181.8,9.462465753424658,6.30958904109589,1.050958904109589,95.30479452054796,122,4.744669152227073,17.0,20.063157894736843,0.2580821917808219,3759,3759,1.0,C,378,8,40,1000,screen,21.0,2.0,v2.2,False
1120.8,11.514520547945205,9.116164383561644,0.7994520547945205,92.5743639921722,123,5.636750164348673,21.0,22.96039603960396,0.2306849315068493,3633,3633,1.0,C,378,8,40,1000,screen,21.0,4.0,v2.2,False
1224.0,7.205479452054795,3.76,1.1484931506849314,97.66829745596868,123,6.194664919744761,21.0,24.88235294117647,0.2750684931506849,4669,4669,1.0,C,378,8,40,1000,screen,28.0,0.0,v2.2,False
1171.2,9.810410958904107,6.435616438356164,1.124931506849315,95.2583170254403,123,5.026486981687391,18.0,20.378205128205128,0.2652054794520548,4452,4452,1.0,C,378,8,40,1000,screen,28.0,2.0,v2.2,False
1116.4,10.96164383561644,9.112328767123287,0.6164383561643836,92.41438356164385,123,5.843880583891079,21.0,22.01834862385321,0.2213698630136986,4312,4312,1.0,C,378,8,40,1000,screen,28.0,4.0,v2.2,False
1220.2,7.770958904109589,3.5134246575342467,1.4191780821917808,98.13013698630137,125,7.1825454251223615,24.0,27.07377049180328,0.2701369863013698,3920,3920,1.0,C,378,8,40,1001,screen,21.0,0.0,v2.2,False
1224.4,8.922191780821917,6.126027397260274,0.932054794520548,95.36252446183954,121,4.385666898070524,16.0,19.8494623655914,0.2394520547945205,3780,3780,1.0,C,378,8,40,1001,screen,21.0,2.0,v2.2,False
1130.4,11.872328767123289,10.113424657534246,0.5863013698630137,91.49363992172212,121,5.943965897749356,20.0,21.06140350877193,0.2252054794520548,3535,3535,1.0,C,378,8,40,1001,screen,21.0,4.0,v2.2,False
1221.8,7.365479452054794,3.1210958904109587,1.4147945205479453,98.47651663405088,124,6.4693620549279,21.0,24.62142857142857,0.3271232876712329,4676,4676,1.0,C,378,8,40,1001,screen,28.0,0.0,v2.2,False
1230.8,7.574794520547945,5.49041095890411,0.6947945205479452,95.71819960861056,123,4.198738881514948,15.0,18.13084112149533,0.2082191780821917,4648,4648,1.0,C,378,8,40,1001,screen,28.0,2.0,v2.2,False
